"id";"timestamp";"activity"
"13";"01-01-1970 01:04:23.200";"y-S1_0"
"38";"01-01-1970 01:04:24.700";"y-S1_0"
"28";"01-01-1970 01:04:25.800";"IN_7_3-y"
"38";"01-01-1970 01:04:26.000";"y-S2_0"
"4";"01-01-1970 01:04:27.200";"IN_2_3-x"
"43";"01-01-1970 01:04:27.400";"IN_7_3-y"
"33";"01-01-1970 01:04:28.200";"y-S1_0"
"47";"01-01-1970 01:04:29.400";"IN_6_3-x"
"37";"01-01-1970 01:04:29.500";"IN_5_3-x"
"4";"01-01-1970 01:04:30.100";"IN_3_3-x"
"4";"01-01-1970 01:04:32.300";"IN_4_3-x"
"35";"01-01-1970 01:04:32.600";"IN_5_3-x"
"27";"01-01-1970 01:04:33.800";"IN_7_3-y"
"37";"01-01-1970 01:04:37.000";"IN_6_3-x"
"55";"01-01-1970 01:04:37.300";"IN_1_0"
"53";"01-01-1970 01:04:37.300";"IN_2_0"
"51";"01-01-1970 01:04:37.300";"IN_3_0"
"49";"01-01-1970 01:04:37.300";"IN_4_0"
"54";"01-01-1970 01:04:37.300";"IN_5_0"
"50";"01-01-1970 01:04:37.300";"IN_6_0"
"52";"01-01-1970 01:04:37.300";"IN_7_0"
"35";"01-01-1970 01:04:40.100";"IN_6_3-x"
"23";"01-01-1970 01:04:40.800";"y-S1_0"
"47";"01-01-1970 01:04:41.000";"IN_7_3-y"
"3";"01-01-1970 01:04:42.700";"IN_5_3-x"
"21";"01-01-1970 01:04:43.900";"y-S1_0"
"36";"01-01-1970 01:04:45.300";"y-S1_0"
"36";"01-01-1970 01:04:46.600";"y-S2_0"
"37";"01-01-1970 01:04:48.600";"IN_7_3-y"
"34";"01-01-1970 01:04:49.500";"IN_5_3-x"
"3";"01-01-1970 01:04:50.200";"IN_6_3-x"
"48";"01-01-1970 01:04:51.600";"IN_1_3-x"
"35";"01-01-1970 01:04:51.700";"IN_7_3-y"
"48";"01-01-1970 01:04:53.700";"IN_2_3-x"
"11";"01-01-1970 01:04:55.300";"IN_2_3-x"
"20";"01-01-1970 01:04:55.500";"y-S1_0"
"48";"01-01-1970 01:04:56.700";"IN_3_3-x"
"34";"01-01-1970 01:04:57.000";"IN_6_3-x"
"40";"01-01-1970 01:04:57.200";"y-S1_0"
"11";"01-01-1970 01:04:58.200";"IN_3_3-x"
"40";"01-01-1970 01:04:58.500";"y-S2_0"
"48";"01-01-1970 01:04:58.900";"IN_4_3-x"
"52";"01-01-1970 01:04:59.100";"IN_7_3-y"
"1";"01-01-1970 01:04:59.700";"IN_5_3-x"
"51";"01-01-1970 01:04:59.800";"IN_3_3-x"
"11";"01-01-1970 01:05:00.400";"IN_4_3-x"
"3";"01-01-1970 01:05:01.800";"IN_7_3-y"
"51";"01-01-1970 01:05:01.900";"IN_4_3-x"
"45";"01-01-1970 01:05:03.200";"y-S1_0"
"0";"01-01-1970 01:05:03.400";"z-x"
"50";"01-01-1970 01:05:04.500";"IN_6_3-x"
"49";"01-01-1970 01:05:04.900";"IN_4_3-x"
"1";"01-01-1970 01:05:07.200";"IN_6_3-x"
"34";"01-01-1970 01:05:08.600";"IN_7_3-y"
"44";"01-01-1970 01:05:09.300";"IN_5_3-x"
"62";"01-01-1970 01:05:10.500";"IN_1_0"
"60";"01-01-1970 01:05:10.500";"IN_2_0"
"58";"01-01-1970 01:05:10.500";"IN_3_0"
"56";"01-01-1970 01:05:10.500";"IN_4_0"
"61";"01-01-1970 01:05:10.500";"IN_5_0"
"57";"01-01-1970 01:05:10.500";"IN_6_0"
"59";"01-01-1970 01:05:10.500";"IN_7_0"
"0";"01-01-1970 01:05:12.200";"IN_1_3-x"
"42";"01-01-1970 01:05:12.400";"IN_5_3-x"
"0";"01-01-1970 01:05:14.400";"IN_2_3-x"
"41";"01-01-1970 01:05:15.400";"IN_5_3-x"
"9";"01-01-1970 01:05:15.700";"z-x"
"30";"01-01-1970 01:05:15.600";"y-S1_0"
"50";"01-01-1970 01:05:16.000";"IN_7_3-y"
"44";"01-01-1970 01:05:16.800";"IN_6_3-x"
"54";"01-01-1970 01:05:17.100";"IN_5_3-x"
"0";"01-01-1970 01:05:17.400";"IN_3_3-x"
"28";"01-01-1970 01:05:18.700";"y-S1_0"
"1";"01-01-1970 01:05:18.800";"IN_7_3-y"
"0";"01-01-1970 01:05:19.600";"IN_4_3-x"
"42";"01-01-1970 01:05:19.900";"IN_6_3-x"
"43";"01-01-1970 01:05:20.300";"y-S1_0"
"43";"01-01-1970 01:05:21.600";"y-S2_0"
"41";"01-01-1970 01:05:22.900";"IN_6_3-x"
"22";"01-01-1970 01:05:24.100";"z-x"
"9";"01-01-1970 01:05:24.500";"IN_1_3-x"
"54";"01-01-1970 01:05:24.500";"IN_6_3-x"
"27";"01-01-1970 01:05:26.700";"y-S1_0"
"9";"01-01-1970 01:05:26.700";"IN_2_3-x"
"18";"01-01-1970 01:05:28.200";"IN_2_3-x"
"44";"01-01-1970 01:05:28.400";"IN_7_3-y"
"4";"01-01-1970 01:05:28.600";"IN_5_3-x"
"9";"01-01-1970 01:05:29.700";"IN_3_3-x"
"18";"01-01-1970 01:05:31.100";"IN_3_3-x"
"42";"01-01-1970 01:05:31.500";"IN_7_3-y"
"9";"01-01-1970 01:05:31.900";"IN_4_3-x"
"58";"01-01-1970 01:05:32.800";"IN_3_3-x"
"22";"01-01-1970 01:05:32.900";"IN_1_3-x"
"18";"01-01-1970 01:05:33.300";"IN_4_3-x"
"47";"01-01-1970 01:05:33.900";"y-S1_0"
"6";"01-01-1970 01:05:34.200";"z-x"
"41";"01-01-1970 01:05:34.500";"IN_7_3-y"
"58";"01-01-1970 01:05:34.900";"IN_4_3-x"
"22";"01-01-1970 01:05:35.100";"IN_2_3-x"
"54";"01-01-1970 01:05:36.100";"IN_7_3-y"
